pertanyaan,jawaban,konteks,kategori
leres atanapi henteu pakakas paranti nakolan paku keur kai jeung sajabana disebut palu,leres,palu nyaeta pakakas paranti nakol paku jang makuan kai jeung sajabana,pakakas
leres atanapi henteu pakakas paranti motongan kai disebutna ragaji,leres,ragaji nyaeta pakakas anu sok digunakeun paranti motong kai,pakakas
leres atanapi henteu pakakas paranti muterkeun baud disebutna obeng,leres,obeng nyaeta pakakas anu sok digunakeun kanggo muterkeun baud,pakakas
leres atanapi henteu pakakas paranti muterkeun mur disebutna konci inggris,leres,konci inggris nyaeta pakakas paranti muterkeun mur,pakakas
leres atanapi henteu pakakas paranti ngala jukut atawa pare teh namina arit,leres,arit nyaeta pakakas paranti ngala jukut atawa pare,pakakas
leres atanapi henteu pakakas paranti ngadek teh namina bedog,leres,bedog nyaeta pakakas paranti ngadek ,pakakas
leres atanapi henteu pakakas anu bisa dijieun patik atawa rimbas teh namina baliung,leres,baliung nyaeta pakakas nu bisa dijieun patik atawa rimbas,pakakas
leres atanapi henteu pakakas paragi neunggeul anu beurat namina gegendir,leres,gegendir nyaeta pakakas paranti neunggeul nu beurat,pakakas
leres atanapi henteu pakakas paragi miceun jujukutan teh namina kored,leres,kored nyaeta pakakas paranti miceun jujukutan,pakakas
leres atanapi henteu pakarang khas urang sunda nyaeta kujang ,leres,kujang nyaeta pakakas ciri khas sunda,pakakas
leres atanapi henteu pakakas paranti ngababad jukut dina galeng namina parang,leres,parang nyaeta pakakas paranti ngababad jukut dina galeng,pakakas
leres atanapi henteu pakakas paranti meulah sabangsaning tangkal namina kampak,leres,kampak nyaeta pakakas paranti meulahan sabangsaning tatangkalan atawa kai,pakakas
leres atanapi henteu wadah jukut meunang ngarit namina carangka,leres,carangka nyaeta pakakas paranti wadah jukut,pakakas
leres atanapi henteu pakakas paragi ngawaluku namina garu,leres,garu nyaeta pakakas paranti ngawaluku,pakakas
leres atanapi henteu pakakas paranti nyacar namina congkrang,leres,congkrang nyaeta pakakas paranti nyacar,pakakas
leres atanapi henteu pakakas paranti ngala pare namina etem,leres,etem nyaeta pakakas paranti ngala pare,pakakas
"leres atanapi henteu pakakas paranti ngait, dijieun tina awi digagangan namina gaet",leres,gaet nyaeta pakakas paragi ngait nu dijieun na tina kai digagangan,pakakas
leres atanapi henteu pakakas paranti ngaliangan awi namina jara,leres,jara nyaeta pakakas paranti ngaliangan awi,pakakas
leres atanapi henteu pakakas paranti ngasah ragaji namina kikir,leres,kikir nyaeta pakakas paranti ngasah ragaji,pakakas
leres atanapi henteu pakakas paranti naek ka tempat luhur namina taraje,leres,taraje nyaeta pakakas paranti naek ka luhur,pakakas
leres atanapi henteu pakakas paranti maculan taneuh namina pacul,leres,pacul nyaeta pakakas paranti macul taneuh,pakakas
leres atanapi henteu pakakas paranti nyapukeun buruan imah namina sapu nyere,leres,sapu nyere nyaeta pakakas paranti nyapukeun buruan imah,pakakas
